,index,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_weights,param_n_neighbors,params,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,split4_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_train_recall,split1_train_recall,split2_train_recall,split3_train_recall,split4_train_recall,mean_train_recall,std_train_recall,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,split4_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_train_precision,split1_train_precision,split2_train_precision,split3_train_precision,split4_train_precision,mean_train_precision,std_train_precision,param_PCA_features
0,0,0.22275776863098146,0.002875698175696937,2.3064505577087404,0.010906347098367767,uniform,9,"{'weights': 'uniform', 'n_neighbors': 9}",0.0007434944237918215,0.0,0.0007434944237918215,0.0007434944237918215,0.0,0.00044609665427509297,0.00036423639297891117,9,0.0013011152416356876,0.001486988847583643,0.0013011152416356876,0.0013011152416356876,0.0,0.0010780669144981412,0.0005438192876701782,1.0,0.0,1.0,1.0,0.0,0.6,0.48989794855663565,2,1.0,1.0,1.0,1.0,0.0,0.8,0.4,1
1,1,0.22367382049560547,0.010912537292830884,0.35607523918151857,0.003147120343551288,distance,3,"{'weights': 'distance', 'n_neighbors': 3}",0.006691449814126394,0.0037174721189591076,0.001486988847583643,0.005947955390334572,0.008921933085501859,0.005353159851301115,0.0025496547508523787,3,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.010501750291715286,0.006053268765133172,0.0024390243902439024,0.00984009840098401,0.01507537688442211,0.008781903746499694,0.004274646642546566,8,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
2,2,0.21781563758850098,0.0015049958756312711,2.2920342922210692,0.05189741799396906,uniform,3,"{'weights': 'uniform', 'n_neighbors': 3}",0.001486988847583643,0.0,0.0007434944237918215,0.0007434944237918215,0.0044609665427509295,0.001486988847583643,0.0015595670604760619,7,0.010037174721189592,0.01171003717472119,0.012639405204460967,0.009851301115241635,0.01245353159851301,0.01133828996282528,0.0011814311213435465,0.15384615384615385,0.0,0.0625,0.05,0.18181818181818182,0.08963286713286714,0.06776796579599065,4,0.6835443037974683,0.7078651685393258,0.7010309278350515,0.7162162162162162,0.6320754716981132,0.688146417617235,0.030026267709267546,1
3,3,0.21857595443725586,0.0056723107468442885,0.3125030517578125,0.0009674211992381387,distance,1,"{'weights': 'distance', 'n_neighbors': 1}",0.009665427509293681,0.005947955390334572,0.0044609665427509295,0.008921933085501859,0.011152416356877323,0.008029739776951672,0.0024614045140887507,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.009219858156028368,0.0060790273556231,0.0045351473922902496,0.009015777610818933,0.011511895625479662,0.008072341228048063,0.002470726297547062,9,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
4,4,0.21785445213317872,0.00155155539415502,2.1705389976501466,0.012423888152424161,uniform,1,"{'weights': 'uniform', 'n_neighbors': 1}",0.009665427509293681,0.005947955390334572,0.0044609665427509295,0.008921933085501859,0.011152416356877323,0.008029739776951672,0.0024614045140887507,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.009219858156028368,0.0060790273556231,0.0045351473922902496,0.009015777610818933,0.011511895625479662,0.008072341228048063,0.002470726297547062,9,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
5,5,0.2244128704071045,0.005732326773451885,0.44103426933288575,0.008862085014260546,distance,7,"{'weights': 'distance', 'n_neighbors': 7}",0.0052044609665427505,0.001486988847583643,0.0007434944237918215,0.0022304832713754648,0.007434944237918215,0.003420074349442379,0.0025147263234628642,4,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0137524557956778,0.004405286343612335,0.0020964360587002098,0.006787330316742082,0.021551724137931036,0.009718646530532693,0.007088241623257174,7,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
6,6,0.2278996467590332,0.008241023557643735,2.3707113742828367,0.017632458170770613,uniform,11,"{'weights': 'uniform', 'n_neighbors': 11}",0.0007434944237918215,0.0,0.0007434944237918215,0.0007434944237918215,0.0,0.00044609665427509297,0.00036423639297891117,9,0.0013011152416356876,0.001486988847583643,0.0013011152416356876,0.0013011152416356876,0.0,0.0010780669144981412,0.0005438192876701782,1.0,0.0,1.0,1.0,0.0,0.6,0.48989794855663565,2,1.0,1.0,1.0,1.0,0.0,0.8,0.4,1
7,7,0.22037644386291505,0.0031802660482863434,2.3312143802642824,0.06453666116927488,uniform,5,"{'weights': 'uniform', 'n_neighbors': 5}",0.001486988847583643,0.0,0.0007434944237918215,0.0007434944237918215,0.0037174721189591076,0.0013382899628252786,0.0012791561735379369,8,0.001486988847583643,0.0018587360594795538,0.0016728624535315986,0.0016728624535315986,0.0005576208178438662,0.001449814126394052,0.0004613261578435263,0.6666666666666666,0.0,1.0,1.0,1.0,0.7333333333333333,0.38873012632302,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
8,8,0.21964411735534667,0.00264884958766724,0.5018499851226806,0.015570637634367255,distance,11,"{'weights': 'distance', 'n_neighbors': 11}",0.0044609665427509295,0.001486988847583643,0.0007434944237918215,0.0022304832713754648,0.006691449814126394,0.0031226765799256505,0.002175277150680713,6,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.014184397163120567,0.005221932114882507,0.002551020408163265,0.008356545961002786,0.024725274725274724,0.01100783407448877,0.007877593777261308,5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
9,9,0.23200492858886718,0.01741620272929937,0.4888042449951172,0.04309116896860684,distance,9,"{'weights': 'distance', 'n_neighbors': 9}",0.0044609665427509295,0.001486988847583643,0.0007434944237918215,0.0022304832713754648,0.007434944237918215,0.0032713754646840148,0.0024252054171449945,5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.013186813186813187,0.004842615012106538,0.002347417840375587,0.007614213197969543,0.024752475247524754,0.01054870689695792,0.007964151181519904,6,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
